0 1 2
0 2 2
0 3 3
0 4 4
0 5 3
0 6 4
0 7 4
0 8 3
0 10 1
0 11 2
0 12 5
0 13 3
0 14 4
0 16 1
0 17 4
0 18 3
0 19 2
0 23 3
0 30 2
0 36 1
0 37 1
0 39 3
0 43 3
0 45 3
1 2 5
1 3 4
1 4 4
1 5 3
1 6 1
1 7 3
1 8 1
1 9 1
1 10 5
1 11 3
1 12 5
1 13 5
1 14 1
1 15 4
1 16 5
1 17 1
1 18 1
1 19 2
1 22 3
1 23 1
1 33 5
1 34 3
1 43 3
2 3 1
2 4 2
2 6 3
2 7 4
2 8 3
2 9 4
2 10 3
2 11 2
2 12 4
2 13 1
2 14 4
2 15 1
2 16 5
2 17 4
2 18 2
2 19 4
2 24 1
2 27 4
2 30 5
2 39 3
2 45 1
2 49 4
3 5 2
3 6 5
3 7 4
3 8 4
3 9 1
3 10 2
3 11 2
3 12 4
3 13 4
3 14 3
3 15 1
3 16 1
3 17 4
3 18 3
3 19 2
3 29 3
3 32 2
3 41 3
3 47 1
3 48 5
3 49 4
4 6 5
4 7 5
4 8 1
4 9 5
4 10 3
4 11 4
4 12 1
4 13 1
4 14 3
4 15 2
4 16 2
4 17 1
4 18 2
4 19 4
4 20 3
4 31 5
4 34 1
4 38 1
4 43 1
4 46 1
4 49 3
5 6 5
5 7 5
5 8 2
5 9 3
5 10 4
5 11 3
5 12 4
5 13 2
5 14 5
5 15 1
5 16 2
5 17 3
5 18 5
5 19 3
5 26 2
5 29 5
5 36 3
5 37 5
5 41 1
5 42 5
5 43 1
6 7 2
6 8 1
6 9 2
6 10 3
6 11 4
6 12 4
6 13 4
6 14 4
6 15 1
6 16 5
6 17 3
6 18 4
6 19 1
6 21 2
6 23 5
6 25 5
6 42 5
6 49 1
7 8 5
7 9 1
7 10 1
7 11 4
7 12 3
7 13 1
7 14 4
7 15 4
7 16 2
7 17 5
7 18 5
7 21 1
7 28 1
7 33 2
7 37 3
7 44 4
7 47 4
8 9 1
8 10 2
8 11 2
8 12 1
8 13 2
8 14 1
8 15 5
8 16 3
8 17 2
8 18 2
8 19 5
8 22 4
8 31 3
8 33 3
8 43 5
8 47 1
9 10 4
9 11 1
9 12 5
9 13 2
9 14 4
9 15 4
9 16 4
9 17 2
9 18 5
9 19 4
9 20 1
9 29 2
9 39 5
9 44 3
9 45 3
9 46 1
10 11 4
10 12 5
10 13 1
10 14 1
10 15 3
10 16 5
10 17 1
10 18 3
10 19 5
10 26 1
10 29 1
10 32 4
10 42 4
10 48 2
11 12 5
11 13 5
11 14 5
11 15 1
11 17 5
11 18 1
11 19 4
11 25 3
11 37 5
11 40 4
11 44 5
11 47 3
11 48 3
12 13 3
12 14 2
12 15 2
12 16 1
12 17 5
12 18 2
12 19 4
12 26 5
12 32 4
12 37 1
12 38 1
12 44 5
13 14 3
13 16 5
13 17 5
13 18 3
13 19 2
13 23 5
13 26 3
13 27 4
13 31 4
13 34 3
13 36 4
14 15 4
14 16 1
14 17 1
14 19 1
14 20 1
14 23 3
14 24 4
14 34 2
14 40 4
14 49 2
15 16 4
15 17 5
15 18 4
15 19 3
15 27 2
15 28 4
15 30 5
15 34 4
15 40 5
15 42 2
15 44 4
16 18 3
16 19 5
16 20 1
16 21 1
16 22 2
16 27 1
16 36 5
16 38 3
16 47 1
17 18 1
17 19 3
17 23 3
17 27 3
17 30 5
17 31 3
17 35 2
17 45 1
18 19 3
18 29 2
18 31 1
18 35 1
18 38 4
18 40 5
18 48 3
19 24 5
19 25 2
19 33 1
19 39 5
19 41 4
19 46 1
20 39 4
20 21 3
20 25 2
21 36 4
21 49 2
21 26 2
22 43 2
22 46 5
22 26 4
22 28 5
23 28 4
24 32 4
24 35 3
24 45 1
24 30 3
25 38 1
25 40 2
25 42 4
26 38 2
27 45 3
27 48 1
28 33 4
28 49 4
28 47 4
29 42 3
29 43 4
30 33 2
30 47 2
31 36 1
31 41 2
32 37 1
32 38 1
32 44 3
33 46 1
34 35 1
34 37 3
35 39 5
35 41 5
35 48 4
36 42 4
37 38 5
38 45 5
39 46 5
40 41 3
40 46 5
41 45 2
42 49 5
43 46 1
44 100000 50
44 100004 50
44 48 1
44 100001 50
45 100001 50
45 100004 50
45 100002 50
46 100003 50
47 100000 50
48 100000 50
49 100003 50
49 100004 50
-2 1 50
-2 2 50
-2 3 50
-5 1 50
-5 2 50
-5 4 50
-4 0 50
-4 2 50
-4 3 50
-3 0 50
-3 2 50
-3 4 50
-1 1 50
-1 4 50
