0 1 2
0 2 5
0 6 2
0 31 2
1 2 4
1 5 5
1 6 2
1 14 2
1 31 3
2 3 1
2 27 4
3 9 5
3 4 1
3 5 2
3 25 4
4 8 2
4 5 3
4 30 4
4 13 3
5 6 2
5 7 1
5 8 5
6 7 3
7 8 4
7 10 4
8 9 4
8 19 3
9 16 2
9 10 1
9 21 1
10 11 1
10 12 4
10 25 1
11 16 3
11 12 1
11 21 5
11 31 2
12 13 5
12 17 3
12 28 1
12 29 4
13 14 3
14 15 1
15 16 2
15 17 3
15 22 2
16 17 3
16 18 2
16 29 2
17 18 3
18 19 4
18 20 3
18 22 3
19 20 1
19 21 3
19 22 4
20 24 2
20 21 2
20 23 1
21 22 4
21 27 5
22 23 3
23 24 4
23 28 2
23 30 5
24 25 3
24 26 4
24 27 4
25 27 5
25 26 4
26 100001 50
26 100002 50
26 100003 50
26 27 5
26 30 3
27 100000 50
27 100004 50
27 28 1
28 100003 50
28 29 4
28 31 3
29 100002 50
29 100004 50
29 30 5
29 31 4
30 100004 50
30 31 3
31 100003 50
31 100001 50
31 100000 50
-2 1 50
-2 2 50
-2 3 50
-5 1 50
-5 3 50
-5 5 50
-4 1 50
-4 3 50
-4 4 50
-3 0 50
-3 5 50
-1 3 50
-1 4 50
-1 5 50
