0 1 2
0 101 5
0 6 7
0 8 10
0 9 6
0 93 7
0 125 8
0 126 7
1 96 1
1 17 7
1 29 5
1 126 1
1 127 8
2 128 9
2 31 9
2 27 4
2 12 3
2 127 4
3 128 6
3 129 4
3 47 1
4 129 4
4 125 7
4 15 7
5 35 4
5 60 6
5 125 1
5 126 2
6 32 5
6 7 3
6 10 3
6 43 7
6 44 10
6 45 7
6 58 6
6 126 2
6 127 1
7 128 6
7 64 6
7 34 9
7 103 10
7 40 10
7 73 5
7 11 1
7 104 7
7 59 7
7 127 6
8 128 10
8 129 3
9 129 4
9 79 5
9 125 8
9 38 1
9 13 6
10 25 8
10 125 8
10 126 8
10 23 4
11 22 10
11 14 6
11 126 10
11 127 10
12 128 3
12 75 2
12 127 2
13 128 6
13 129 5
13 66 7
13 41 6
13 16 10
13 18 8
13 20 10
13 21 7
14 129 10
14 28 9
14 125 7
14 63 6
15 49 6
15 125 6
15 126 2
15 53 10
16 80 7
16 26 1
16 126 1
16 127 8
17 128 2
17 127 4
18 128 10
18 129 2
18 51 1
18 108 6
18 19 5
18 121 5
19 129 3
19 52 8
19 125 9
19 33 8
20 24 6
20 125 10
20 126 5
21 92 8
21 126 7
21 127 3
22 128 10
22 90 6
22 127 5
23 128 6
23 129 5
24 56 6
24 129 6
24 125 8
25 30 7
25 46 8
25 125 8
25 126 4
26 117 7
26 126 4
26 127 2
27 128 4
27 69 2
27 127 3
28 128 5
28 129 4
28 100 4
28 39 5
29 129 5
29 37 4
29 125 7
29 89 4
30 125 2
30 126 1
31 126 3
31 127 2
32 128 7
32 112 10
32 99 6
32 127 2
33 128 3
33 129 7
33 78 8
33 72 7
34 129 6
34 125 4
35 118 10
35 36 6
35 125 1
35 126 3
35 55 5
36 42 5
36 61 2
36 126 1
36 127 3
37 128 5
37 48 10
37 127 7
38 128 3
38 129 3
38 84 7
38 97 2
38 65 9
39 129 8
39 125 4
39 54 1
40 70 1
40 125 9
40 126 2
41 126 5
41 127 5
42 128 1
42 95 4
42 127 9
43 128 2
43 129 4
44 129 10
44 124 1
44 125 2
45 125 10
45 126 9
46 126 3
46 127 1
47 128 8
47 114 1
47 127 2
48 128 4
48 129 2
48 67 5
48 76 7
48 50 8
48 57 4
49 129 8
49 125 1
49 111 10
50 125 8
50 126 9
51 126 8
51 127 2
52 128 1
52 127 2
53 128 2
53 129 8
53 85 1
53 88 3
53 105 10
54 129 2
54 125 3
55 125 2
55 126 10
56 86 1
56 126 6
56 127 2
57 128 7
57 87 1
57 62 10
57 110 7
57 127 8
58 128 3
58 129 10
59 129 2
59 106 5
59 125 4
60 91 7
60 125 5
60 126 6
61 71 2
61 68 3
61 126 3
61 127 10
62 128 1
62 77 9
62 127 9
63 128 2
63 129 9
63 74 2
64 129 7
64 125 4
65 125 10
65 126 3
66 126 2
66 127 2
67 128 3
67 83 1
67 127 3
68 128 5
68 129 9
69 129 1
69 125 3
70 125 10
70 126 10
71 126 9
71 127 2
72 128 9
72 127 7
73 128 9
73 129 8
73 119 3
74 129 10
74 125 3
75 116 9
75 125 1
75 126 7
76 98 7
76 126 4
76 127 7
77 128 5
77 81 1
77 127 5
78 128 3
78 129 5
79 129 4
79 82 6
79 125 1
80 125 2
80 126 8
81 126 4
81 127 8
82 128 9
82 127 7
83 128 9
83 129 4
84 129 3
84 125 2
85 125 8
85 126 10
86 126 6
86 127 2
87 128 3
87 127 6
88 128 8
88 129 2
89 129 6
89 125 8
90 115 3
90 94 6
90 125 6
90 126 10
91 107 2
91 126 7
91 127 2
92 128 9
92 127 2
93 128 3
93 129 10
94 129 5
94 125 2
95 125 6
95 126 2
96 126 9
96 127 7
97 128 2
97 102 5
97 127 7
98 128 2
98 129 7
98 123 10
99 129 8
99 125 9
100 125 10
100 126 3
101 126 3
101 127 6
102 128 4
102 113 10
102 127 2
103 128 3
103 129 4
104 129 1
104 125 6
105 125 6
105 126 1
106 126 6
106 127 8
107 128 2
107 109 5
107 127 6
108 128 8
108 129 2
109 129 3
109 125 8
110 125 10
110 126 4
111 126 10
111 127 10
112 128 6
112 127 1
113 128 3
113 129 8
114 129 8
114 125 7
115 120 10
115 125 6
115 126 3
116 122 3
116 126 5
116 127 6
117 128 1
117 127 2
118 128 4
118 129 8
119 129 5
119 125 10
120 125 3
120 126 4
121 126 3
121 127 5
122 128 3
122 127 5
123 128 4
123 129 9
124 129 3
124 125 5
125 130 4
125 131 2
125 132 1
125 133 10
125 134 10
125 135 4
125 136 10
125 137 3
125 138 8
125 139 1
125 140 4
125 141 3
125 142 5
125 143 3
125 144 8
125 145 8
125 146 5
125 147 3
125 148 9
125 149 3
125 150 7
125 151 6
125 152 9
125 153 4
125 154 8
125 155 1
125 156 1
125 157 4
125 158 4
125 159 1
125 160 10
125 161 9
125 162 6
125 163 7
125 164 7
125 165 5
125 166 8
125 167 9
125 168 2
125 169 1
125 170 7
125 171 9
125 172 9
125 173 8
125 174 1
125 175 5
125 176 10
125 177 4
125 178 9
125 179 3
126 130 1
126 131 8
126 132 1
126 133 7
126 134 7
126 135 2
126 136 9
126 137 10
126 138 3
126 139 9
126 140 6
126 141 6
126 142 5
126 143 2
126 144 6
126 145 9
126 146 6
126 147 3
126 148 3
126 149 10
126 150 5
126 151 2
126 152 3
126 153 10
126 154 8
126 155 8
126 156 6
126 157 1
126 158 2
126 159 5
126 160 4
126 161 7
126 162 9
126 163 3
126 164 10
126 165 10
126 166 4
126 167 3
126 168 5
126 169 4
126 170 9
126 171 7
126 172 3
126 173 1
126 174 4
126 175 7
126 176 9
126 177 3
126 178 4
126 179 7
127 130 2
127 131 3
127 132 7
127 133 1
127 134 10
127 135 4
127 136 5
127 137 7
127 138 4
127 139 5
127 140 6
127 141 3
127 142 2
127 143 5
127 144 8
127 145 5
127 146 3
127 147 1
127 148 6
127 149 6
127 150 9
127 151 9
127 152 4
127 153 6
127 154 4
127 155 7
127 156 5
127 157 6
127 158 6
127 159 6
127 160 1
127 161 8
127 162 7
127 163 6
127 164 8
127 165 5
127 166 10
127 167 7
127 168 7
127 169 3
127 170 8
127 171 1
127 172 5
127 173 4
127 174 6
127 175 6
127 176 5
127 177 5
127 178 6
127 179 2
128 130 4
128 131 10
128 132 3
128 133 1
